0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,0,0,0,0,0,0,0,0,chelsea,69.80,179.52,1869.20,1998.85,3668.96,3797.71,5473.80,5602.89
1,60,11,67,1,69,1,69,0,chelsea,136.08,245.75,1997.03,2066.20,3795.69,3850.67,5600.94,5669.35
2,58,11,70,1,70,2,70,1,edithvale,301.27,417.96,2201.07,2269.02,3984.72,4053.02,5799.46,5882.75
3,58,10,70,8,70,3,69,4,edithvale,353.11,471.13,2267.18,2395.07,4050.98,4180.01,5866.84,6010.03
4,58,10,70,8,69,4,69,5,haileybury,1129.84,1184.15,3148.65,3236.58,5009.78,5089.17,6760.64,6890.79
5,59,12,70,20,70,21,69,29,haileybury,1182.34,1291.14,3234.38,3363.27,5087.39,5217.01,6846.94,7017.10
6,54,12,68,21,68,23,66,31,springvale,1923.30,2001.97,3942.07,4141.08,5710.33,5909.16,7678.48,7853.58
7,53,12,64,20,64,25,65,32,springvale,2000.02,2130.26,4070.16,4267.95,5776.93,6035.80,7730.05,7980.47
8,51,12,63,21,60,25,61,34,brandonpark,2357.45,2586.61,4457.58,4854.37,6241.25,6566.91,8208.20,8425.45
9,48,11,61,20,57,27,58,37,brandonpark,2452.00,2711.00,4523.00,4979.00,6325.00,6642.00,8282.00,8549.00
10,48,11,59,20,52,26,55,38,glen,3159.19,3540.44,5189.92,5788.70,6862.77,7373.17,8910.18,9247.53
11,47,12,56,21,50,28,51,38,glen,3284.75,3667.04,5317.94,5915.60,6993.25,7451.03,9025.91,9375.10
12,47,12,54,21,49,27,47,38,bwdhwy,3850.18,4344.20,5765.13,6461.37,7460.17,8014.93,9540.35,9915.75
13,45,12,54,26,46,29,45,37,bwdhwy,3974.00,4471.00,5891.00,6587.00,7557.00,8139.00,9665.00,10040.00
14,43,13,48,27,41,28,46,37,nunawading,4546.16,5446.58,6611.13,7262.49,8084.66,8677.88,10151.85,10581.96
15,40,12,46,25,37,29,45,36,nunawading,4673.43,5573.57,6738.62,7388.65,8211.53,8803.69,10278.51,10707.52
16,37,12,39,25,32,27,42,34,,,,,,,,,
17,37,22,41,40,37,40,42,45,,,,,,,,,
18,36,22,41,41,37,39,40,47,,,,,,,,,
19,33,20,41,42,37,41,36,46,,,,,,,,,
20,32,20,39,39,35,40,37,44,,,,,,,,,
21,29,21,39,40,31,40,36,47,,,,,,,,,
22,27,22,38,38,27,39,36,46,,,,,,,,,
23,25,21,37,41,26,37,35,44,,,,,,,,,
24,25,21,37,44,27,38,35,45,,,,,,,,,
25,23,18,35,43,26,39,34,44,,,,,,,,,
26,18,18,32,41,24,37,27,40,,,,,,,,,
27,23,31,36,53,28,48,27,36,,,,,,,,,
28,23,32,35,54,27,45,25,36,,,,,,,,,
29,24,31,34,53,25,43,25,37,,,,,,,,,
30,24,28,34,49,24,43,25,35,,,,,,,,,
31,24,28,34,51,22,41,27,34,,,,,,,,,
32,24,29,32,50,19,37,29,35,,,,,,,,,
33,23,27,31,50,19,35,28,35,,,,,,,,,
34,22,30,30,56,18,33,29,34,,,,,,,,,
35,29,48,36,65,24,40,32,47,,,,,,,,,
36,29,48,32,65,23,37,32,48,,,,,,,,,
37,29,49,32,64,23,38,32,49,,,,,,,,,
38,28,53,30,59,21,37,31,48,,,,,,,,,
39,26,52,29,59,21,34,32,49,,,,,,,,,
40,25,53,26,60,21,36,31,45,,,,,,,,,
41,26,51,27,60,19,34,32,44,,,,,,,,,
42,26,51,26,60,19,31,29,41,,,,,,,,,
43,27,54,25,59,20,31,30,38,,,,,,,,,
44,27,58,22,58,19,31,30,38,,,,,,,,,
45,23,60,20,52,20,33,31,39,,,,,,,,,
46,42,70,35,65,34,40,35,48,,,,,,,,,
47,46,69,34,64,34,39,34,47,,,,,,,,,
48,45,69,32,61,33,40,35,43,,,,,,,,,
49,45,69,33,61,34,41,34,40,,,,,,,,,
50,45,67,32,59,33,40,32,39,,,,,,,,,
51,42,63,32,55,31,38,32,37,,,,,,,,,
52,43,64,33,51,29,35,32,34,,,,,,,,,
53,44,64,34,52,29,35,30,33,,,,,,,,,
54,51,70,63,59,36,45,30,45,,,,,,,,,
55,51,70,65,58,33,46,32,43,,,,,,,,,
56,51,68,67,56,32,45,31,39,,,,,,,,,
57,48,67,65,55,29,43,31,39,,,,,,,,,
58,46,66,63,53,28,42,29,38,,,,,,,,,
59,42,62,58,47,28,39,27,34,,,,,,,,,
60,35,61,55,45,26,36,24,32,,,,,,,,,
61,31,52,46,39,22,33,24,29,,,,,,,,,
62,29,43,39,33,19,29,19,24,,,,,,,,,
