0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,0,0,0,0,0,0,0,0,chelsea,69.80,179.52,1869.35,1998.62,3674.22,3802.66,5472.19,5601.84
1,60,11,67,0,65,1,70,0,chelsea,136.08,245.75,1996.69,2066.58,3800.84,3854.97,5599.82,5670.32
2,58,11,70,1,67,1,69,0,edithvale,301.27,417.96,2191.55,2300.51,4035.16,4087.72,5771.73,5908.64
3,58,10,70,8,66,1,69,2,edithvale,353.11,471.13,2257.85,2426.27,4085.86,4214.83,5837.90,6035.48
4,58,10,70,8,64,3,69,4,haileybury,1136.59,1195.36,3141.13,3220.17,4916.79,5085.30,6773.21,6878.65
5,59,12,70,27,66,19,69,24,haileybury,1193.22,1293.24,3218.06,3346.20,4993.60,5211.18,6870.01,7004.32
6,54,12,67,28,68,19,63,26,springvale,1941.76,2020.95,3833.83,4155.44,5716.46,5926.45,7574.06,7749.14
7,53,12,64,27,65,18,61,28,springvale,2019.28,2148.09,3920.69,4282.16,5843.14,6003.97,7670.01,7875.16
8,51,12,62,28,64,19,60,30,brandonpark,2400.07,2619.21,4473.99,4750.40,6282.19,6555.22,8159.15,8303.00
9,48,11,60,28,62,21,59,31,brandonpark,2524.00,2743.00,4567.00,4875.00,6395.00,6628.00,8263.00,8428.00
10,48,11,58,28,60,22,55,30,glen,3282.41,3572.07,5283.58,5646.54,7118.61,7445.66,8839.51,9078.39
11,47,12,55,28,58,27,49,31,glen,3409.60,3699.15,5410.62,5774.97,7225.09,7502.71,8925.60,9177.00
12,47,12,53,29,57,27,47,31,bwdhwy,3916.84,4392.05,5912.96,6387.41,7707.83,8005.45,9366.62,9745.37
13,45,12,54,31,56,31,43,32,bwdhwy,4042.00,4517.00,6037.00,6512.00,7822.00,8110.00,9481.00,9841.00
14,44,12,49,30,53,31,43,32,nunawading,4691.24,5375.76,6859.37,7189.31,8349.09,8653.97,10018.92,10375.92
15,41,11,47,30,52,32,42,34,nunawading,4818.84,5502.35,6987.00,7315.87,8475.48,8781.79,10144.45,10502.61
16,38,11,41,31,46,31,34,35,,,,,,,,,
17,39,20,42,52,47,44,41,44,,,,,,,,,
18,38,20,42,53,43,44,40,44,,,,,,,,,
19,35,18,41,53,42,45,40,43,,,,,,,,,
20,34,18,40,52,38,44,40,43,,,,,,,,,
21,31,19,38,54,37,40,37,45,,,,,,,,,
22,29,20,36,50,36,40,36,45,,,,,,,,,
23,28,18,35,51,33,40,33,44,,,,,,,,,
24,28,18,35,52,31,39,29,42,,,,,,,,,
25,26,15,34,48,28,39,27,40,,,,,,,,,
26,21,14,30,42,26,39,26,37,,,,,,,,,
27,27,26,32,53,41,42,33,33,,,,,,,,,
28,29,27,29,56,38,40,33,33,,,,,,,,,
29,29,26,30,53,38,40,31,33,,,,,,,,,
30,29,23,27,50,37,40,31,34,,,,,,,,,
31,28,25,29,49,38,39,31,34,,,,,,,,,
32,28,26,30,48,38,37,29,31,,,,,,,,,
33,26,25,29,47,35,36,24,32,,,,,,,,,
34,27,26,31,48,34,38,22,33,,,,,,,,,
35,38,39,40,56,41,39,27,45,,,,,,,,,
36,35,40,35,56,42,38,25,46,,,,,,,,,
37,35,42,33,55,38,36,26,44,,,,,,,,,
38,33,42,31,51,36,34,25,43,,,,,,,,,
39,29,44,29,51,36,34,23,43,,,,,,,,,
40,28,48,29,49,35,35,22,42,,,,,,,,,
41,26,46,31,48,34,35,23,41,,,,,,,,,
42,23,46,33,48,30,31,23,40,,,,,,,,,
43,24,52,29,46,31,31,23,40,,,,,,,,,
44,25,54,26,44,32,30,23,38,,,,,,,,,
45,23,53,29,37,30,30,25,38,,,,,,,,,
46,49,64,40,46,36,35,29,41,,,,,,,,,
47,48,63,40,43,36,33,29,40,,,,,,,,,
48,47,62,40,43,34,32,30,39,,,,,,,,,
49,47,62,40,45,33,32,27,37,,,,,,,,,
50,49,60,37,42,30,28,23,37,,,,,,,,,
51,49,55,34,39,30,26,22,37,,,,,,,,,
52,49,55,32,37,30,25,23,34,,,,,,,,,
53,48,56,33,36,28,28,22,31,,,,,,,,,
54,57,70,59,44,31,32,29,36,,,,,,,,,
55,57,70,61,43,31,30,28,37,,,,,,,,,
56,56,70,66,46,31,29,26,33,,,,,,,,,
57,54,68,65,45,29,28,26,32,,,,,,,,,
58,54,65,63,46,29,28,24,29,,,,,,,,,
59,54,66,58,41,29,27,23,28,,,,,,,,,
60,49,61,51,35,23,27,19,26,,,,,,,,,
61,42,51,37,30,21,24,16,24,,,,,,,,,
62,37,46,29,23,19,22,14,20,,,,,,,,,
