0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,0,0,0,0,0,0,0,0,chelsea,69.80,179.52,1869.83,1998.74,3669.10,3798.16,5469.28,5598.80
1,62,10,70,0,69,0,70,1,chelsea,136.08,230.93,1996.91,2066.10,3796.31,3850.72,5597.01,5666.62
2,61,10,69,0,68,0,70,4,edithvale,351.85,420.03,2214.52,2268.00,4016.61,4070.19,5794.68,5863.56
3,61,10,67,2,66,3,69,5,edithvale,418.16,477.79,2265.91,2394.97,4067.92,4197.28,5861.72,5989.87
4,60,10,66,2,65,5,69,5,haileybury,1326.79,1114.85,3204.33,3303.11,4894.97,4966.04,6708.88,6780.51
5,60,15,66,17,67,20,69,30,haileybury,1413.71,1166.89,3301.21,3430.31,4962.18,5092.39,6760.28,6907.48
6,56,14,60,19,65,22,67,30,springvale,2137.00,1795.86,3947.80,4141.32,5718.87,5854.61,7566.77,7680.91
7,55,14,57,21,63,22,62,29,springvale,2253.19,1923.09,4014.18,4268.50,5770.34,5982.33,7633.18,7798.44
8,53,14,55,24,61,24,58,30,brandonpark,2732.99,2392.91,4311.02,4837.02,6173.71,6577.37,8072.41,8421.94
9,50,15,53,24,57,26,56,32,brandonpark,2857.00,2518.00,4365.00,4963.00,6228.00,6703.00,8176.00,8516.00
10,49,14,54,25,54,28,54,31,glen,3692.04,3425.57,5032.79,5803.44,6817.55,7459.19,8736.62,9219.18
11,45,14,52,26,51,29,53,32,glen,3809.15,3553.59,5100.88,5929.20,6944.77,7586.04,8854.79,9345.09
12,42,14,50,28,49,30,53,34,bwdhwy,4434.26,4230.30,5530.98,6525.18,7372.24,7999.67,9317.48,9751.89
13,38,13,47,28,45,31,52,36,bwdhwy,4485.00,4356.00,5598.63,6650.00,7497.00,8123.00,9392.00,9876.00
14,37,12,42,27,45,32,51,36,nunawading,5293.10,5165.12,6232.73,7312.82,8007.89,8749.88,9832.78,10425.93
15,37,12,42,26,46,33,50,36,nunawading,5419.48,5291.32,6359.61,7438.48,8135.72,8876.90,9958.53,10552.81
16,38,10,38,26,42,30,45,33,,,,,,,,,
17,47,12,39,44,47,44,45,49,,,,,,,,,
18,47,12,37,44,45,44,42,49,,,,,,,,,
19,45,12,35,43,40,44,41,49,,,,,,,,,
20,42,11,33,44,37,43,38,50,,,,,,,,,
21,41,12,32,44,34,45,36,46,,,,,,,,,
22,37,13,32,44,33,42,35,42,,,,,,,,,
23,36,14,30,44,31,38,34,41,,,,,,,,,
24,35,13,31,46,31,41,30,39,,,,,,,,,
25,33,13,31,45,28,39,28,39,,,,,,,,,
26,31,16,27,46,23,40,27,39,,,,,,,,,
27,42,29,31,55,26,43,31,44,,,,,,,,,
28,41,29,31,51,24,41,29,47,,,,,,,,,
29,41,28,31,54,22,38,29,47,,,,,,,,,
30,40,26,31,53,22,37,29,43,,,,,,,,,
31,37,27,31,54,23,36,26,42,,,,,,,,,
32,37,26,29,51,23,35,25,40,,,,,,,,,
33,34,28,28,49,23,34,25,39,,,,,,,,,
34,34,29,28,49,23,35,25,37,,,,,,,,,
35,48,50,29,61,26,44,33,44,,,,,,,,,
36,47,47,27,61,25,42,29,44,,,,,,,,,
37,46,49,26,57,25,39,28,42,,,,,,,,,
38,47,47,24,54,26,35,26,43,,,,,,,,,
39,48,49,24,50,25,36,26,39,,,,,,,,,
40,47,48,21,49,25,37,25,41,,,,,,,,,
41,46,42,18,47,22,37,22,40,,,,,,,,,
42,44,41,17,47,19,31,22,39,,,,,,,,,
43,43,38,17,50,18,29,21,39,,,,,,,,,
44,39,39,15,50,17,30,20,37,,,,,,,,,
45,37,36,12,52,19,31,20,36,,,,,,,,,
46,40,70,18,61,27,48,27,45,,,,,,,,,
47,40,70,20,57,27,45,29,45,,,,,,,,,
48,39,69,22,55,25,43,27,42,,,,,,,,,
49,38,63,22,52,24,43,24,43,,,,,,,,,
50,37,65,22,51,23,41,22,43,,,,,,,,,
51,37,65,22,47,23,39,20,42,,,,,,,,,
52,37,66,21,45,22,39,20,39,,,,,,,,,
53,35,66,22,45,24,36,18,36,,,,,,,,,
54,65,70,31,57,37,45,23,44,,,,,,,,,
55,65,68,30,54,37,45,23,44,,,,,,,,,
56,69,63,33,52,34,42,23,43,,,,,,,,,
57,69,61,33,48,35,39,23,39,,,,,,,,,
58,67,62,30,47,34,38,21,38,,,,,,,,,
59,65,63,32,46,31,32,18,36,,,,,,,,,
60,65,59,30,43,30,29,18,32,,,,,,,,,
61,60,54,26,37,26,22,17,27,,,,,,,,,
62,50,50,23,30,23,19,12,24,,,,,,,,,
