0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,0,0,0,0,0,0,0,0,chelsea,69.80,179.52,1869.30,1998.70,3674.41,3803.27,5469.45,5597.35
1,60,11,64,1,66,2,70,8,chelsea,136.08,245.75,1996.73,2066.13,3801.53,3854.74,5595.62,5663.47
2,58,11,68,1,68,2,70,10,edithvale,301.27,417.96,2172.70,2288.52,3996.71,4089.08,5762.47,5916.98
3,58,10,68,7,68,5,69,13,edithvale,353.11,471.13,2239.04,2415.03,4046.97,4217.17,5828.79,6044.20
4,58,10,68,7,67,9,69,16,haileybury,1120.41,1174.34,3135.00,3215.02,4971.71,5091.08,6683.74,6888.90
5,58,13,70,24,70,27,69,32,haileybury,1172.44,1291.34,3213.00,3342.95,5038.43,5218.43,6736.01,7016.46
6,53,13,69,25,69,29,66,34,springvale,1870.66,1999.69,3803.57,4209.94,5805.81,5996.83,7437.41,7838.96
7,52,13,67,24,68,30,65,36,springvale,1923.12,2126.85,3881.28,4336.76,5857.06,6123.72,7504.19,7966.62
8,50,13,65,26,64,32,60,35,brandonpark,2271.54,2599.06,4308.63,4844.43,6333.00,6756.47,7890.37,8543.73
9,47,12,64,25,58,32,59,35,brandonpark,2375.00,2723.00,4414.00,4958.00,6410.00,6851.00,7976.96,8648.00
10,47,12,62,26,57,34,52,34,glen,3031.30,3631.42,4989.98,5840.22,6973.66,7618.14,8522.49,9266.74
11,46,13,59,27,56,33,50,35,glen,3156.07,3757.59,5100.08,5966.60,7030.69,7744.18,8621.09,9362.80
12,46,13,56,25,54,34,49,34,bwdhwy,3644.65,4383.96,5551.32,6514.29,7564.76,8266.00,8954.35,9836.81
13,44,13,56,27,51,34,48,36,bwdhwy,3770.00,4510.00,5677.00,6639.00,7680.00,8390.00,9030.00,9886.00
14,43,13,53,26,47,34,45,39,nunawading,4384.81,5361.51,6345.80,7340.27,8172.10,8983.86,9595.26,10351.36
15,40,12,50,23,44,32,44,41,nunawading,4511.67,5488.56,6471.86,7467.67,8298.74,9110.72,9721.82,10428.66
16,37,12,44,21,40,31,41,41,,,,,,,,,
17,36,23,46,39,41,46,39,53,,,,,,,,,
18,34,24,45,40,37,46,38,55,,,,,,,,,
19,31,22,44,40,35,47,35,54,,,,,,,,,
20,30,23,44,39,33,42,35,56,,,,,,,,,
21,27,25,43,41,29,40,33,54,,,,,,,,,
22,24,27,42,38,29,40,31,53,,,,,,,,,
23,23,26,40,38,28,35,29,53,,,,,,,,,
24,23,26,38,41,26,34,28,53,,,,,,,,,
25,21,23,37,38,22,35,25,54,,,,,,,,,
26,17,22,33,35,19,31,20,52,,,,,,,,,
27,17,37,34,50,23,45,24,44,,,,,,,,,
28,17,38,34,49,19,44,22,43,,,,,,,,,
29,17,37,32,46,19,39,21,44,,,,,,,,,
30,17,34,30,43,18,42,19,46,,,,,,,,,
31,16,35,28,44,19,40,18,45,,,,,,,,,
32,16,35,28,46,20,33,17,44,,,,,,,,,
33,18,32,27,46,20,31,16,42,,,,,,,,,
34,17,34,27,50,20,30,15,41,,,,,,,,,
35,25,49,33,61,25,39,21,40,,,,,,,,,
36,25,49,31,60,27,39,21,39,,,,,,,,,
37,26,48,31,60,26,36,21,39,,,,,,,,,
38,25,46,31,60,25,38,21,35,,,,,,,,,
39,23,45,31,56,25,38,22,35,,,,,,,,,
40,20,50,32,52,24,41,21,32,,,,,,,,,
41,19,48,34,53,23,39,19,32,,,,,,,,,
42,19,49,33,49,23,36,19,27,,,,,,,,,
43,18,54,33,46,22,35,21,25,,,,,,,,,
44,19,58,30,43,25,34,22,25,,,,,,,,,
45,19,54,28,42,25,36,23,26,,,,,,,,,
46,28,70,41,55,28,44,29,31,,,,,,,,,
47,29,70,40,53,29,43,29,28,,,,,,,,,
48,30,68,37,52,30,45,28,28,,,,,,,,,
49,32,66,36,50,29,44,29,24,,,,,,,,,
50,33,66,32,50,30,41,25,26,,,,,,,,,
51,30,62,29,47,26,38,24,25,,,,,,,,,
52,29,64,29,46,29,39,24,22,,,,,,,,,
53,32,66,28,42,28,34,24,21,,,,,,,,,
54,50,70,60,42,37,43,27,23,,,,,,,,,
55,50,70,60,40,34,42,27,22,,,,,,,,,
56,51,70,59,40,33,42,26,19,,,,,,,,,
57,51,67,58,40,33,41,24,18,,,,,,,,,
58,50,68,58,39,32,40,24,18,,,,,,,,,
59,45,68,56,37,32,38,22,16,,,,,,,,,
60,42,63,52,32,30,35,22,14,,,,,,,,,
61,35,55,43,26,27,29,19,10,,,,,,,,,
62,34,46,36,20,23,28,17,7,,,,,,,,,
