0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,0,0,0,0,0,0,0,0,chelsea,69.80,179.52,1868.99,1996.56,3669.42,3797.44,5469.38,5599.63
1,60,11,70,1,70,3,63,0,chelsea,136.08,230.66,1994.62,2047.36,3795.72,3849.90,5597.86,5665.52
2,59,11,70,2,70,3,67,0,edithvale,295.27,363.68,2178.91,2232.62,3963.58,4073.86,5850.25,5938.60
3,59,11,69,3,70,7,66,1,edithvale,361.86,415.94,2230.84,2358.99,4013.92,4201.75,5901.72,6063.93
4,59,11,68,3,70,8,66,5,haileybury,1239.13,1291.81,3109.92,3179.26,4866.50,5027.95,6825.48,6936.98
5,60,13,66,18,69,28,66,30,haileybury,1289.94,1418.25,3177.34,3306.02,4922.20,5153.85,6877.03,7063.91
6,58,12,61,18,68,30,57,32,springvale,1961.73,2037.78,3880.29,4019.32,5665.17,5871.85,7514.93,7916.47
7,55,12,60,22,66,35,55,35,springvale,2019.16,2165.13,3931.90,4145.13,5717.24,6000.55,7570.91,8003.26
8,55,11,57,24,65,35,52,37,brandonpark,2491.44,2822.54,4366.87,4758.30,6117.11,6649.91,7976.36,8591.23
9,51,11,54,22,64,35,52,38,brandonpark,2565.00,2947.00,4421.00,4882.00,6231.00,6775.00,8060.00,8686.00
10,47,11,52,24,62,33,50,37,glen,3184.62,3815.58,5013.65,5614.71,6802.73,7532.56,8677.82,9413.34
11,45,11,48,23,60,32,48,38,glen,3290.62,3945.84,5140.95,5747.76,6870.16,7648.76,8806.14,9539.66
12,45,12,43,26,57,31,47,39,bwdhwy,3744.97,4649.99,5620.18,6221.89,7328.49,8150.26,9295.29,9983.36
13,42,12,40,27,54,30,43,37,bwdhwy,3869.00,4776.37,5745.00,6327.00,7453.00,8254.00,9359.00,10068.00
14,41,14,39,28,52,31,42,34,nunawading,4412.40,5674.79,6504.09,6985.99,7933.50,8789.84,9931.66,10561.76
15,38,14,39,27,49,28,41,37,nunawading,4539.65,5801.62,6630.50,7112.61,8059.47,8916.83,10058.80,10689.87
16,38,14,34,28,47,27,34,37,,,,,,,,,
17,41,24,36,48,46,41,34,52,,,,,,,,,
18,38,25,35,51,44,40,33,49,,,,,,,,,
19,38,25,32,52,40,41,32,49,,,,,,,,,
20,38,25,32,51,40,39,31,48,,,,,,,,,
21,36,27,28,49,35,40,29,50,,,,,,,,,
22,33,27,24,52,33,41,28,50,,,,,,,,,
23,33,27,23,53,33,42,26,49,,,,,,,,,
24,32,26,20,50,31,41,23,47,,,,,,,,,
25,30,25,18,49,28,40,22,48,,,,,,,,,
26,29,24,19,51,25,38,20,45,,,,,,,,,
27,30,44,21,63,24,51,23,49,,,,,,,,,
28,29,44,20,62,22,44,22,47,,,,,,,,,
29,27,45,20,59,21,43,22,47,,,,,,,,,
30,27,41,19,56,21,43,22,46,,,,,,,,,
31,29,39,19,54,20,43,22,45,,,,,,,,,
32,30,38,18,54,18,40,18,42,,,,,,,,,
33,28,37,19,49,17,38,16,40,,,,,,,,,
34,28,38,14,45,15,35,19,39,,,,,,,,,
35,33,58,17,50,26,45,23,48,,,,,,,,,
36,29,60,16,49,26,42,24,46,,,,,,,,,
37,28,62,17,46,22,45,23,46,,,,,,,,,
38,28,62,18,47,22,43,24,43,,,,,,,,,
39,28,62,17,48,22,43,25,41,,,,,,,,,
40,27,66,15,50,22,38,24,39,,,,,,,,,
41,24,65,16,50,21,35,22,37,,,,,,,,,
42,22,61,17,49,21,36,21,38,,,,,,,,,
43,21,61,17,47,21,33,22,35,,,,,,,,,
44,23,60,16,47,24,32,21,34,,,,,,,,,
45,22,59,15,45,22,34,21,36,,,,,,,,,
46,30,70,41,51,26,40,30,36,,,,,,,,,
47,29,68,41,50,25,39,31,37,,,,,,,,,
48,29,69,39,49,25,37,30,37,,,,,,,,,
49,26,67,40,49,24,38,27,36,,,,,,,,,
50,26,64,40,48,20,36,29,33,,,,,,,,,
51,26,66,40,46,20,33,29,34,,,,,,,,,
52,27,67,41,44,19,32,25,34,,,,,,,,,
53,25,65,39,45,19,30,25,33,,,,,,,,,
54,38,70,68,45,29,40,31,37,,,,,,,,,
55,39,70,70,46,29,37,31,35,,,,,,,,,
56,39,67,70,44,25,35,31,32,,,,,,,,,
57,39,70,69,44,26,34,31,31,,,,,,,,,
58,38,68,68,46,25,32,29,31,,,,,,,,,
59,36,66,65,46,25,33,31,32,,,,,,,,,
60,32,66,59,40,23,31,29,30,,,,,,,,,
61,28,58,45,33,21,28,23,27,,,,,,,,,
62,25,50,39,26,17,24,20,21,,,,,,,,,
