0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,0,0,0,0,0,0,0,0,chelsea,69.80,179.70,1869.84,1979.58,3669.80,3798.84,5469.43,5598.21
1,62,10,50,10,64,2,70,1,chelsea,136.08,230.87,1967.05,2031.47,3796.93,3865.47,5596.45,5665.78
2,62,11,50,10,62,2,70,2,edithvale,301.21,415.18,2177.77,2231.92,4016.36,4069.64,5791.42,5876.81
3,61,11,50,10,61,4,68,6,edithvale,352.92,482.91,2230.03,2360.09,4067.79,4197.10,5843.30,6004.07
4,60,10,49,11,60,4,68,7,haileybury,1102.49,1167.98,3098.59,3326.53,4884.13,5047.36,6767.02,6820.47
5,60,16,51,32,63,19,69,23,haileybury,1154.24,1264.33,3165.34,3453.37,4961.29,5154.18,6818.45,6947.05
6,58,16,51,38,60,21,66,21,springvale,1826.25,1915.69,3859.87,4325.69,5646.94,5843.80,7541.64,7711.92
7,56,15,48,43,56,22,61,20,springvale,1913.83,2043.25,3913.00,4451.96,5704.40,5970.75,7609.05,7838.27
8,51,14,46,44,55,23,62,20,brandonpark,2345.54,2607.04,4395.49,5194.10,6184.60,6534.07,7984.33,8447.62
9,51,14,46,46,54,24,57,20,brandonpark,2420.00,2732.00,4480.00,5319.00,6288.00,6617.00,8098.00,8562.00
10,51,14,44,46,53,24,56,24,glen,2947.84,3610.84,4980.63,6179.54,6992.50,7222.90,8589.80,9316.85
11,46,13,42,47,52,21,55,23,glen,3073.71,3739.02,5106.75,6306.11,7071.01,7349.12,8646.77,9434.04
12,45,14,41,47,48,21,49,23,bwdhwy,3542.46,4424.29,5556.37,6887.32,7679.19,7808.91,9054.96,9931.89
13,44,14,40,50,47,22,46,23,bwdhwy,3669.00,4550.00,5682.00,7012.00,7805.00,7874.00,9104.00,10056.00
14,41,14,37,51,45,21,45,23,nunawading,4284.92,5486.69,6350.11,7652.87,8411.25,8540.28,9619.94,10664.38
15,37,14,32,48,45,21,44,24,nunawading,4411.16,5614.78,6476.47,7780.46,8538.36,8666.83,9746.52,10790.41
16,37,14,27,47,38,22,39,24,,,,,,,,,
17,37,23,33,66,39,32,40,36,,,,,,,,,
18,34,22,32,66,39,33,38,35,,,,,,,,,
19,33,21,33,64,38,34,33,36,,,,,,,,,
20,31,21,28,64,35,32,31,34,,,,,,,,,
21,30,21,26,65,32,34,29,36,,,,,,,,,
22,29,21,25,65,28,33,27,38,,,,,,,,,
23,26,22,24,64,27,33,23,39,,,,,,,,,
24,25,23,20,61,26,31,21,36,,,,,,,,,
25,26,25,19,61,26,29,19,35,,,,,,,,,
26,25,26,18,62,24,24,17,34,,,,,,,,,
27,27,37,21,70,31,36,21,48,,,,,,,,,
28,27,38,21,70,32,38,21,46,,,,,,,,,
29,28,36,20,65,29,38,21,46,,,,,,,,,
30,24,33,18,60,30,36,22,42,,,,,,,,,
31,24,31,18,56,28,35,19,41,,,,,,,,,
32,24,32,19,55,30,36,17,43,,,,,,,,,
33,23,30,19,54,28,37,19,39,,,,,,,,,
34,21,31,18,51,27,33,17,41,,,,,,,,,
35,22,47,20,61,33,33,24,52,,,,,,,,,
36,23,48,20,58,33,31,24,51,,,,,,,,,
37,22,47,20,59,34,33,23,50,,,,,,,,,
38,21,47,20,58,32,30,23,48,,,,,,,,,
39,21,44,19,59,32,27,23,49,,,,,,,,,
40,21,46,20,55,32,25,22,50,,,,,,,,,
41,17,47,19,53,35,25,22,48,,,,,,,,,
42,18,46,18,52,35,24,22,48,,,,,,,,,
43,18,43,20,52,34,24,21,46,,,,,,,,,
44,18,45,20,52,35,24,20,44,,,,,,,,,
45,19,46,20,50,35,23,19,43,,,,,,,,,
46,26,63,28,56,40,31,25,48,,,,,,,,,
47,26,59,30,58,37,30,25,47,,,,,,,,,
48,25,59,31,57,38,28,24,45,,,,,,,,,
49,28,61,29,54,37,27,24,42,,,,,,,,,
50,26,66,29,52,34,26,22,40,,,,,,,,,
51,25,63,31,49,35,25,19,40,,,,,,,,,
52,24,62,30,44,31,27,21,39,,,,,,,,,
53,26,63,31,44,34,28,21,37,,,,,,,,,
54,43,70,65,52,47,34,22,45,,,,,,,,,
55,43,70,66,50,47,33,22,45,,,,,,,,,
56,44,70,65,49,46,34,23,46,,,,,,,,,
57,46,68,63,49,46,31,21,43,,,,,,,,,
58,45,66,60,49,47,30,21,41,,,,,,,,,
59,42,62,57,43,46,29,20,37,,,,,,,,,
60,42,61,48,41,44,28,19,33,,,,,,,,,
61,35,56,46,34,40,23,16,28,,,,,,,,,
62,28,50,39,30,34,17,14,27,,,,,,,,,
