0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,0,0,0,0,0,0,0,0,chelsea,69.80,179.52,1869.30,1998.70,3670.02,3797.96,5472.88,5603.07
1,60,11,64,1,70,2,70,0,chelsea,136.08,245.75,1996.73,2066.13,3795.74,3850.40,5600.94,5669.49
2,58,11,68,1,70,5,70,1,edithvale,301.27,417.96,2172.70,2290.66,4010.44,4079.59,5767.70,5881.47
3,58,10,68,7,70,7,69,4,edithvale,353.11,471.13,2238.90,2416.04,4076.70,4206.20,5819.30,6007.76
4,58,10,68,7,69,11,69,5,haileybury,1120.41,1174.34,3025.93,3246.51,4884.77,5054.02,6716.43,6838.15
5,58,13,70,23,70,26,68,27,haileybury,1172.44,1291.34,3103.16,3373.38,4941.29,5181.14,6767.54,6965.12
6,53,13,69,24,70,28,64,27,springvale,1870.66,1999.69,3684.93,4120.21,5641.16,5976.80,7426.30,7783.64
7,52,13,67,23,68,28,63,30,springvale,1923.12,2126.85,3761.11,4247.04,5696.94,6105.22,7477.19,7890.01
8,50,13,65,24,65,30,59,30,brandonpark,2253.43,2658.77,4206.88,4862.29,6139.33,6665.05,7889.34,8411.28
9,47,12,64,23,62,31,57,30,brandonpark,2317.00,2784.00,4270.00,4986.00,6234.00,6748.00,7974.00,8535.00
10,47,12,62,24,62,33,52,30,glen,2909.94,3768.21,4798.01,5857.68,6898.35,7452.39,8544.63,9199.88
11,46,13,60,24,59,32,50,30,glen,3037.82,3893.65,4925.07,5984.05,7026.05,7579.05,8601.94,9266.76
12,46,13,57,24,57,32,47,30,bwdhwy,3496.94,4576.36,5398.56,6516.26,7504.05,8096.62,9028.03,9620.60
13,44,13,57,28,58,33,45,30,bwdhwy,3611.00,4703.45,5463.00,6611.00,7630.00,8210.00,9103.00,9736.00
14,43,13,53,30,52,32,43,30,nunawading,4193.11,5566.90,6255.25,7203.89,8264.52,8855.48,9482.92,10280.81
15,40,12,50,28,48,33,43,31,nunawading,4320.71,5693.26,6381.45,7331.69,8392.22,8982.97,9600.67,10407.91
16,37,12,43,28,45,35,37,32,,,,,,,,,
17,36,23,42,50,44,55,34,48,,,,,,,,,
18,34,24,41,51,39,52,33,45,,,,,,,,,
19,31,22,40,52,38,53,30,44,,,,,,,,,
20,30,23,40,50,36,50,31,44,,,,,,,,,
21,27,25,39,53,33,51,30,45,,,,,,,,,
22,24,27,37,53,33,45,29,44,,,,,,,,,
23,23,26,35,51,32,40,28,45,,,,,,,,,
24,23,26,33,50,30,43,28,47,,,,,,,,,
25,21,23,32,47,29,42,25,46,,,,,,,,,
26,17,22,26,44,25,41,22,45,,,,,,,,,
27,17,37,27,58,30,53,22,44,,,,,,,,,
28,17,38,27,57,27,47,18,43,,,,,,,,,
29,17,37,26,51,27,46,22,42,,,,,,,,,
30,17,34,25,46,27,46,21,43,,,,,,,,,
31,16,35,24,47,26,45,20,43,,,,,,,,,
32,16,36,24,50,24,41,20,40,,,,,,,,,
33,17,35,22,51,26,38,17,37,,,,,,,,,
34,15,38,23,51,25,38,17,35,,,,,,,,,
35,19,60,25,67,34,44,23,32,,,,,,,,,
36,18,61,23,66,32,44,23,36,,,,,,,,,
37,19,61,22,64,31,43,22,36,,,,,,,,,
38,18,59,20,58,28,44,22,34,,,,,,,,,
39,15,59,19,57,28,44,24,33,,,,,,,,,
40,13,62,19,55,27,42,22,30,,,,,,,,,
41,12,61,19,53,25,40,22,29,,,,,,,,,
42,12,61,19,51,25,35,19,27,,,,,,,,,
43,12,63,21,47,29,33,18,28,,,,,,,,,
44,12,68,18,46,28,35,17,27,,,,,,,,,
45,11,67,17,44,26,37,17,27,,,,,,,,,
46,24,70,45,47,37,43,19,27,,,,,,,,,
47,26,69,44,44,37,42,18,25,,,,,,,,,
48,24,70,42,44,38,42,20,27,,,,,,,,,
49,23,69,45,43,36,43,18,24,,,,,,,,,
50,24,68,45,41,33,43,17,26,,,,,,,,,
51,25,62,43,37,30,42,18,26,,,,,,,,,
52,24,65,43,34,31,39,15,24,,,,,,,,,
53,26,65,44,33,31,36,14,24,,,,,,,,,
54,37,70,66,38,42,47,16,31,,,,,,,,,
55,38,70,65,38,40,42,15,31,,,,,,,,,
56,39,68,69,37,39,41,15,27,,,,,,,,,
57,40,64,65,36,37,40,15,26,,,,,,,,,
58,42,63,63,34,32,38,12,21,,,,,,,,,
59,36,60,62,26,33,38,12,19,,,,,,,,,
60,34,57,61,20,29,32,13,18,,,,,,,,,
61,29,49,52,17,25,27,13,16,,,,,,,,,
62,24,44,47,12,19,25,11,15,,,,,,,,,
