0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,0,0,0,0,0,0,0,0,chelsea,69.80,179.52,1869.80,2000.17,3669.48,3799.82,5473.07,5602.10
1,60,11,65,0,68,0,70,5,chelsea,136.08,245.75,1998.06,2067.75,3797.48,3851.72,5600.02,5670.02
2,58,11,66,0,70,2,70,7,edithvale,301.27,417.96,2133.43,2300.54,3990.36,4060.11,5798.78,5863.56
3,58,10,66,7,70,2,70,10,edithvale,353.11,471.13,2199.73,2425.96,4057.74,4186.03,5851.05,5988.86
4,58,10,66,7,70,5,68,11,haileybury,1120.41,1174.34,3025.41,3250.85,4929.11,5044.17,6679.03,6751.49
5,58,13,66,20,70,21,67,30,haileybury,1172.44,1291.34,3082.19,3378.52,5015.02,5160.46,6731.25,6878.84
6,53,13,63,22,68,26,64,32,springvale,1869.87,2064.50,3735.70,4063.74,5695.89,6023.98,7477.18,7595.98
7,52,13,61,22,66,25,63,33,springvale,1937.56,2192.14,3802.14,4190.84,5748.95,6151.36,7528.68,7692.83
8,50,13,59,23,59,27,61,33,brandonpark,2304.23,2688.82,4279.75,4727.99,6251.26,6749.48,7999.06,8224.78
9,47,12,57,21,54,30,59,33,brandonpark,2410.00,2813.00,4393.00,4822.00,6355.00,6864.00,8094.69,8349.00
10,47,12,55,21,54,31,56,33,glen,3087.53,3772.63,4997.23,5523.49,7054.38,7606.31,8680.47,9041.54
11,46,13,53,23,52,30,54,33,glen,3214.65,3899.63,5124.68,5658.13,7116.78,7722.61,8767.00,9170.11
12,46,13,51,23,49,32,51,34,bwdhwy,3608.84,4660.96,5662.74,6178.13,7688.78,8213.93,9209.42,9572.52
13,44,13,51,27,50,33,48,36,bwdhwy,3735.00,4787.62,5788.00,6305.00,7793.00,8337.00,9304.00,9667.00
14,43,13,48,26,45,32,46,36,nunawading,4268.54,5744.93,6584.36,6913.47,8333.73,9000.71,9757.86,10240.72
15,40,12,46,23,43,33,46,34,nunawading,4395.92,5871.41,6710.56,7040.45,8460.41,9128.28,9864.43,10367.46
16,37,12,39,24,39,32,44,32,,,,,,,,,
17,36,23,40,44,39,43,43,46,,,,,,,,,
18,34,24,39,43,37,40,43,44,,,,,,,,,
19,31,22,38,43,37,41,41,41,,,,,,,,,
20,30,23,37,40,36,39,39,41,,,,,,,,,
21,28,24,36,41,34,36,36,40,,,,,,,,,
22,25,26,35,40,32,38,34,38,,,,,,,,,
23,24,25,33,42,30,33,32,38,,,,,,,,,
24,24,27,33,43,30,35,32,37,,,,,,,,,
25,21,25,32,41,28,36,33,37,,,,,,,,,
26,17,25,27,40,25,35,27,36,,,,,,,,,
27,21,38,29,47,29,45,29,39,,,,,,,,,
28,21,39,29,44,25,44,25,38,,,,,,,,,
29,21,40,26,40,26,42,25,37,,,,,,,,,
30,21,37,24,36,26,42,26,37,,,,,,,,,
31,20,37,22,39,25,43,26,37,,,,,,,,,
32,20,37,22,40,22,37,23,36,,,,,,,,,
33,17,36,20,41,21,34,22,38,,,,,,,,,
34,15,39,20,44,25,33,23,36,,,,,,,,,
35,23,60,27,51,31,42,26,35,,,,,,,,,
36,23,58,27,50,33,40,26,33,,,,,,,,,
37,24,57,27,50,35,42,26,32,,,,,,,,,
38,22,57,26,48,35,42,25,30,,,,,,,,,
39,21,55,27,46,37,40,26,29,,,,,,,,,
40,20,59,24,41,36,38,26,28,,,,,,,,,
41,19,59,24,42,33,37,25,28,,,,,,,,,
42,20,60,24,42,32,34,21,26,,,,,,,,,
43,18,66,23,41,33,33,23,27,,,,,,,,,
44,21,68,22,40,28,34,23,29,,,,,,,,,
45,19,68,22,37,29,35,21,31,,,,,,,,,
46,35,70,46,39,32,44,24,40,,,,,,,,,
47,36,70,45,40,30,44,23,38,,,,,,,,,
48,36,64,45,40,32,43,25,36,,,,,,,,,
49,37,61,48,39,31,45,25,33,,,,,,,,,
50,37,62,44,39,30,45,22,32,,,,,,,,,
51,36,56,41,40,27,41,21,32,,,,,,,,,
52,35,55,39,37,30,38,22,31,,,,,,,,,
53,34,57,41,35,31,35,21,29,,,,,,,,,
54,50,70,64,46,39,48,23,36,,,,,,,,,
55,49,70,65,47,38,45,21,37,,,,,,,,,
56,49,69,68,42,38,42,19,34,,,,,,,,,
57,48,65,66,39,39,40,17,32,,,,,,,,,
58,50,66,64,34,39,40,15,29,,,,,,,,,
59,46,62,58,30,36,35,13,27,,,,,,,,,
60,45,55,50,27,31,29,12,23,,,,,,,,,
61,40,46,44,25,29,23,11,23,,,,,,,,,
62,37,39,37,20,27,21,10,18,,,,,,,,,
