0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,0,0,0,0,0,0,0,0,chelsea,69.80,179.52,1869.59,1999.50,3669.48,3798.90,5469.17,5598.29
1,61,12,70,6,68,1,68,0,chelsea,136.08,245.98,1997.70,2051.46,3796.90,3865.60,5596.39,5666.34
2,60,12,70,7,67,1,70,1,edithvale,330.39,399.61,2194.95,2290.79,3980.02,4046.84,5791.17,5893.87
3,60,12,68,10,67,1,69,1,edithvale,382.73,450.97,2263.00,2418.84,4031.39,4163.71,5842.11,6020.97
4,58,13,68,12,66,3,69,5,haileybury,1266.06,1321.21,3114.52,3325.78,4808.06,4909.35,6660.04,6828.68
5,59,16,68,25,64,14,68,30,haileybury,1319.37,1378.57,3172.14,3453.07,4860.85,5026.20,6711.37,6955.33
6,51,17,68,26,62,14,65,33,springvale,2053.01,2128.74,3923.07,4314.28,5643.40,5863.80,7434.04,7730.79
7,50,14,67,25,59,14,65,34,springvale,2104.81,2255.58,3980.29,4440.35,5694.82,5989.77,7491.31,7858.16
8,48,14,63,27,58,14,62,34,brandonpark,2536.13,2841.97,4470.30,5102.36,6136.80,6527.00,7993.00,8407.90
9,47,14,61,27,55,16,59,32,brandonpark,2632.00,2966.00,4535.00,5229.07,6252.00,6652.00,8055.00,8531.00
10,45,14,61,29,55,19,56,32,glen,3205.76,3813.78,5063.37,6052.95,6830.84,7421.60,8613.95,9304.75
11,42,13,57,29,54,22,56,34,glen,3322.05,3946.13,5121.09,6178.77,6918.68,7497.77,8681.11,9432.10
12,39,16,54,32,51,26,54,37,bwdhwy,3836.86,4742.81,5555.55,6754.95,7368.85,8059.53,9103.49,9941.80
13,37,16,51,37,47,28,52,37,bwdhwy,3951.00,4867.00,5663.24,6880.00,7493.00,8183.00,9227.00,10005.00
14,36,17,49,38,46,27,50,40,nunawading,4516.35,5791.55,6280.36,7506.82,7959.96,8747.50,9615.33,10555.79
15,33,18,46,39,45,28,46,39,nunawading,4644.02,5919.98,6407.61,7633.44,8085.78,8873.31,9743.25,10682.50
16,29,19,39,40,42,28,40,38,,,,,,,,,
17,31,24,42,56,43,39,40,48,,,,,,,,,
18,32,26,39,56,41,39,39,46,,,,,,,,,
19,31,24,38,56,39,40,36,44,,,,,,,,,
20,30,25,37,55,37,41,35,43,,,,,,,,,
21,28,25,36,57,36,42,33,41,,,,,,,,,
22,27,27,36,57,33,41,32,40,,,,,,,,,
23,31,28,36,55,31,41,30,39,,,,,,,,,
24,28,27,34,54,28,42,25,39,,,,,,,,,
25,28,27,33,51,25,39,23,38,,,,,,,,,
26,24,26,32,51,22,40,20,39,,,,,,,,,
27,27,41,31,66,23,51,23,34,,,,,,,,,
28,26,45,27,67,21,48,22,33,,,,,,,,,
29,25,44,23,63,22,46,21,30,,,,,,,,,
30,23,43,23,62,21,44,20,31,,,,,,,,,
31,23,45,20,61,19,45,20,32,,,,,,,,,
32,21,45,17,59,19,45,19,33,,,,,,,,,
33,21,46,15,56,17,44,17,33,,,,,,,,,
34,19,46,14,51,14,44,17,32,,,,,,,,,
35,24,68,16,65,23,56,16,42,,,,,,,,,
36,25,68,13,66,24,53,15,39,,,,,,,,,
37,27,65,13,67,25,51,15,38,,,,,,,,,
38,25,64,11,67,26,52,14,39,,,,,,,,,
39,26,64,11,69,25,50,13,37,,,,,,,,,
40,27,59,11,66,22,49,14,35,,,,,,,,,
41,26,57,12,60,20,48,14,33,,,,,,,,,
42,27,51,11,58,20,44,14,34,,,,,,,,,
43,26,50,11,56,20,40,13,32,,,,,,,,,
44,25,47,12,52,21,36,13,28,,,,,,,,,
45,24,47,11,50,21,33,14,27,,,,,,,,,
46,33,70,19,57,29,36,16,37,,,,,,,,,
47,32,69,19,56,31,35,16,39,,,,,,,,,
48,32,70,24,52,31,33,16,42,,,,,,,,,
49,29,70,23,51,30,31,14,41,,,,,,,,,
50,27,67,22,52,27,28,14,40,,,,,,,,,
51,27,65,23,51,28,26,15,40,,,,,,,,,
52,27,64,23,51,28,25,14,40,,,,,,,,,
53,25,62,22,51,26,21,14,38,,,,,,,,,
54,32,70,50,59,33,27,16,44,,,,,,,,,
55,31,70,54,56,33,27,16,41,,,,,,,,,
56,32,70,52,54,33,26,17,41,,,,,,,,,
57,29,70,56,54,30,27,17,37,,,,,,,,,
58,29,70,56,54,30,28,16,33,,,,,,,,,
59,30,66,51,49,29,29,17,31,,,,,,,,,
60,30,59,48,44,24,24,17,31,,,,,,,,,
61,26,53,42,42,20,23,15,28,,,,,,,,,
62,21,45,39,33,18,17,13,26,,,,,,,,,
