0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,0,0,0,0,0,0,0,0,chelsea,69.80,179.70,1869.63,1998.06,3669.69,3799.89,5469.74,5597.60
1,61,12,68,3,69,1,70,1,chelsea,136.08,245.50,1996.02,2050.11,3798.09,3851.10,5595.55,5665.05
2,61,12,68,3,70,1,70,3,edithvale,275.26,391.82,2188.93,2258.07,3988.28,4057.89,5792.37,5902.81
3,60,12,67,4,68,1,70,6,edithvale,326.98,443.89,2255.91,2385.91,4055.95,4185.06,5859.03,6028.74
4,60,12,66,4,68,3,69,9,haileybury,1160.10,1213.34,3110.60,3243.90,4946.34,5073.99,6734.56,6923.95
5,61,15,67,19,68,23,69,27,haileybury,1211.23,1320.39,3161.52,3371.37,4998.14,5200.10,6792.56,7050.21
6,56,15,64,20,65,25,68,28,springvale,1829.51,2025.79,3803.65,4121.37,5706.80,5981.30,7491.97,7828.89
7,53,15,58,19,62,25,63,30,springvale,1881.95,2152.94,3856.68,4248.44,5759.01,6087.22,7569.14,7956.19
8,48,15,55,24,61,29,62,32,brandonpark,2204.51,2712.47,4269.99,4927.60,6207.44,6652.52,8081.39,8648.77
9,46,16,54,24,54,32,60,33,brandonpark,2254.00,2838.66,4364.00,5053.00,6301.00,6779.83,8165.00,8773.00
10,43,16,54,29,53,31,58,33,glen,2685.63,3741.46,5062.65,5808.67,6808.50,7514.63,8765.59,9472.49
11,43,17,54,28,51,33,55,34,glen,2801.68,3873.70,5190.74,5935.11,6885.67,7621.56,8818.08,9590.78
12,42,16,53,28,50,35,52,39,bwdhwy,3204.93,4671.82,5671.92,6528.89,7375.26,8192.42,9231.77,10058.73
13,40,16,47,31,49,35,48,42,bwdhwy,3310.00,4797.33,5797.00,6654.00,7492.53,8246.00,9356.00,10173.00
14,39,16,46,32,46,34,46,41,nunawading,3876.41,5655.82,6463.88,7356.46,8055.94,8826.55,9870.88,10683.61
15,36,15,42,30,44,36,43,44,nunawading,4003.51,5781.31,6590.85,7483.05,8182.79,8953.85,9978.05,10811.00
16,30,15,37,27,40,37,39,41,,,,,,,,,
17,29,23,39,50,40,52,42,56,,,,,,,,,
18,26,24,36,52,36,53,38,57,,,,,,,,,
19,23,26,36,55,36,51,37,55,,,,,,,,,
20,23,27,35,55,33,49,35,57,,,,,,,,,
21,20,28,35,55,32,50,33,57,,,,,,,,,
22,17,28,31,55,30,49,31,55,,,,,,,,,
23,17,26,28,57,27,48,29,54,,,,,,,,,
24,15,26,25,58,20,48,28,54,,,,,,,,,
25,14,26,24,61,19,47,31,55,,,,,,,,,
26,11,25,23,60,14,49,29,54,,,,,,,,,
27,12,46,26,70,22,57,30,48,,,,,,,,,
28,12,44,26,68,21,57,29,45,,,,,,,,,
29,11,42,26,69,22,56,30,41,,,,,,,,,
30,11,43,24,65,21,55,29,39,,,,,,,,,
31,11,43,21,61,19,54,25,39,,,,,,,,,
32,11,42,19,60,19,52,26,35,,,,,,,,,
33,11,41,20,55,16,51,24,32,,,,,,,,,
34,10,41,21,53,13,48,23,30,,,,,,,,,
35,14,70,30,65,18,57,21,43,,,,,,,,,
36,14,70,31,61,19,53,21,39,,,,,,,,,
37,14,67,29,60,19,53,20,40,,,,,,,,,
38,13,68,28,60,20,52,21,41,,,,,,,,,
39,12,69,29,55,20,49,21,41,,,,,,,,,
40,12,70,29,53,18,47,22,37,,,,,,,,,
41,11,69,28,50,19,43,21,35,,,,,,,,,
42,11,70,28,48,20,41,21,35,,,,,,,,,
43,13,70,29,46,20,41,22,35,,,,,,,,,
44,14,65,28,45,20,40,22,35,,,,,,,,,
45,13,63,27,42,21,42,21,36,,,,,,,,,
46,24,70,41,58,28,50,23,41,,,,,,,,,
47,25,70,39,54,28,47,23,39,,,,,,,,,
48,25,67,38,53,26,49,23,35,,,,,,,,,
49,26,66,37,50,25,46,21,34,,,,,,,,,
50,23,68,37,50,23,44,21,33,,,,,,,,,
51,23,69,36,50,21,39,20,33,,,,,,,,,
52,24,68,35,46,22,36,21,31,,,,,,,,,
53,22,69,31,46,23,36,21,32,,,,,,,,,
54,32,70,63,52,34,39,24,35,,,,,,,,,
55,34,68,63,50,35,38,23,35,,,,,,,,,
56,35,65,62,50,35,38,20,33,,,,,,,,,
57,31,62,61,50,34,31,20,31,,,,,,,,,
58,30,60,60,46,36,31,18,31,,,,,,,,,
59,27,55,57,41,33,33,15,28,,,,,,,,,
60,22,51,52,38,28,30,14,28,,,,,,,,,
61,21,47,45,26,24,25,13,25,,,,,,,,,
62,16,40,39,22,23,24,10,23,,,,,,,,,
