0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,0,0,0,0,0,0,0,0,chelsea,69.80,179.70,1869.56,1999.52,3669.52,3797.61,5473.61,5582.44
1,61,11,67,1,70,0,50,10,chelsea,136.08,245.50,1997.77,2052.74,3795.74,3850.45,5580.84,5648.73
2,61,11,68,1,69,0,52,10,edithvale,347.48,415.86,2147.84,2247.83,3947.95,4042.79,5816.36,5871.03
3,62,11,68,3,69,2,53,11,edithvale,413.85,471.96,2199.17,2374.38,3999.11,4170.26,5868.96,5999.39
4,59,11,67,6,69,3,52,14,haileybury,1140.79,1194.24,3165.87,3325.64,4803.17,5011.60,6706.27,6819.85
5,59,16,66,25,67,22,53,27,haileybury,1192.18,1321.27,3217.34,3452.19,4854.93,5138.81,6773.06,6936.05
6,56,15,63,25,64,26,48,27,springvale,1809.68,2010.84,3967.88,4236.91,5499.79,5909.92,7311.93,7745.25
7,56,15,59,29,62,29,47,28,springvale,1861.11,2138.22,4045.91,4363.63,5587.40,6036.92,7363.04,7871.22
8,54,15,57,31,54,31,45,27,brandonpark,2237.86,2732.21,4367.71,4977.73,6086.80,6606.34,7822.00,8338.21
9,53,14,58,37,52,32,42,28,brandonpark,2355.65,2856.00,4472.00,5103.00,6210.00,6730.00,7876.00,8432.00
10,52,14,56,36,51,33,40,30,glen,2963.56,3751.65,5195.61,5909.61,6763.44,7608.67,8546.75,9019.82
11,51,15,53,38,48,35,40,28,glen,3089.77,3879.94,5264.19,6038.02,6850.70,7734.70,8624.10,9086.76
12,48,16,54,36,47,35,40,29,bwdhwy,3587.97,4637.39,5824.79,6652.16,7390.67,8156.81,8955.99,9521.34
13,48,15,53,33,47,35,36,29,bwdhwy,3712.00,4762.00,5950.00,6777.00,7516.35,8250.00,9041.00,9587.00
14,45,15,51,32,47,36,32,30,nunawading,4376.35,5670.19,6614.91,7575.84,8061.76,8854.16,9537.67,10059.48
15,43,17,45,34,46,35,30,28,nunawading,4504.57,5797.95,6741.61,7702.22,8189.60,8981.00,9664.98,10185.51
16,36,18,40,32,43,32,28,29,,,,,,,,,
17,33,29,40,47,43,46,29,36,,,,,,,,,
18,33,31,36,46,43,47,27,35,,,,,,,,,
19,32,28,33,46,41,47,26,35,,,,,,,,,
20,31,29,32,44,38,47,23,32,,,,,,,,,
21,30,28,31,45,36,49,24,33,,,,,,,,,
22,27,30,26,42,36,48,22,32,,,,,,,,,
23,26,29,26,44,36,47,22,34,,,,,,,,,
24,24,32,27,45,34,47,21,34,,,,,,,,,
25,22,32,26,45,34,47,20,33,,,,,,,,,
26,18,31,24,44,27,41,20,32,,,,,,,,,
27,21,45,29,57,33,48,20,29,,,,,,,,,
28,21,47,29,59,34,48,19,25,,,,,,,,,
29,20,50,28,57,33,45,20,26,,,,,,,,,
30,20,52,28,56,32,44,21,24,,,,,,,,,
31,20,56,28,54,32,42,20,24,,,,,,,,,
32,18,57,25,51,31,41,18,25,,,,,,,,,
33,19,58,23,48,33,40,18,24,,,,,,,,,
34,19,55,23,46,31,39,18,24,,,,,,,,,
35,28,70,33,57,39,50,23,24,,,,,,,,,
36,25,70,31,55,37,46,24,24,,,,,,,,,
37,24,70,34,55,37,46,23,25,,,,,,,,,
38,24,70,34,54,37,48,26,26,,,,,,,,,
39,23,68,33,56,39,44,26,23,,,,,,,,,
40,22,70,32,56,41,41,25,21,,,,,,,,,
41,21,69,31,54,38,39,22,18,,,,,,,,,
42,20,69,29,52,34,35,20,16,,,,,,,,,
43,20,67,26,53,34,33,18,14,,,,,,,,,
44,19,68,28,51,33,28,21,14,,,,,,,,,
45,17,65,27,48,33,30,23,13,,,,,,,,,
46,31,70,42,60,39,36,22,19,,,,,,,,,
47,34,68,41,55,37,36,23,18,,,,,,,,,
48,34,67,41,55,37,35,23,17,,,,,,,,,
49,34,65,40,56,36,35,24,18,,,,,,,,,
50,35,63,36,52,35,36,24,15,,,,,,,,,
51,30,58,33,49,32,37,24,13,,,,,,,,,
52,28,55,35,49,32,36,23,15,,,,,,,,,
53,29,57,34,45,28,36,23,17,,,,,,,,,
54,39,70,50,55,36,41,26,21,,,,,,,,,
55,41,69,46,52,34,40,24,18,,,,,,,,,
56,41,69,50,50,33,39,23,19,,,,,,,,,
57,40,65,49,48,31,38,21,21,,,,,,,,,
58,42,60,46,45,30,38,19,20,,,,,,,,,
59,43,56,43,43,31,34,18,21,,,,,,,,,
60,43,52,43,43,30,33,19,19,,,,,,,,,
61,38,44,39,36,27,27,17,18,,,,,,,,,
62,32,36,34,30,23,23,14,16,,,,,,,,,
