0,0,-1
0,61,0
1,0,-1
0,60,1
0,60,2
1,11,0
1,11,1
0,60,3
1,12,2
0,58,4
1,12,3
0,55,5
1,14,4
1,14,5
0,53,6
1,13,6
0,49,7
1,13,7
0,48,8
1,14,8
0,46,9
1,13,9
0,43,10
1,11,10
0,39,11
1,12,11
0,36,12
1,12,12
0,32,13
0,30,14
1,9,13
0,28,15
1,10,14
1,11,15
0,31,16
0,28,17
1,20,16
0,27,18
1,21,17
0,26,19
0,25,20
1,22,18
0,23,21
1,23,19
0,21,22
1,21,20
0,19,23
1,21,21
0,16,24
1,25,22
2,0,-1
1,26,23
0,16,25
3,0,-1
1,24,24
2,70,0
0,27,26
3,3,0
2,70,1
1,22,25
3,4,1
2,70,2
0,27,27
0,28,28
3,6,2
2,70,3
3,6,3
0,26,29
1,37,26
2,70,4
0,24,30
1,38,27
2,66,5
0,24,31
3,27,4
0,24,32
1,35,28
3,27,5
2,65,6
0,23,33
1,37,29
1,38,30
3,28,6
2,60,7
0,24,34
1,38,31
2,58,8
3,29,7
0,23,35
0,23,36
1,40,32
0,23,37
2,56,9
0,23,38
3,33,8
1,40,33
0,23,39
2,52,10
3,34,9
2,51,11
3,35,10
0,25,40
2,50,12
1,52,34
3,35,11
2,47,13
0,24,41
1,53,35
0,22,42
3,35,12
2,43,14
1,54,36
0,21,43
0,21,44
3,35,13
2,39,15
1,57,37
3,36,14
0,30,45
1,58,38
2,38,16
3,36,15
0,28,46
2,37,17
1,58,39
0,24,47
2,33,18
0,22,48
1,56,40
3,53,16
2,29,19
0,21,49
2,30,20
1,56,41
3,51,17
0,23,50
0,23,51
1,52,42
2,26,21
3,48,18
2,26,22
1,51,43
0,21,52
2,25,23
3,48,19
4,0,-1
3,45,20
2,22,24
1,49,44
0,31,53
5,0,-1
4,64,0
3,44,21
4,63,1
5,1,0
0,31,54
4,63,2
5,1,1
2,19,25
1,70,45
3,45,22
0,31,55
4,63,3
3,45,23
1,70,46
5,5,2
2,22,26
0,30,56
2,20,27
3,43,24
4,63,4
1,70,47
5,6,3
0,32,57
2,21,28
4,61,5
0,33,58
2,19,29
1,68,48
0,34,59
2,18,30
5,22,4
3,46,25
4,58,6
2,17,31
0,30,60
4,58,7
2,17,32
5,25,5
1,67,49
0,25,61
2,18,33
3,57,26
4,55,8
5,27,6
1,67,50
4,54,9
2,24,34
5,28,7
3,57,27
1,67,51
5,28,8
4,48,10
2,18,35
3,56,28
5,29,9
2,18,36
4,44,11
1,67,52
4,42,12
2,17,37
3,53,29
5,30,10
4,39,13
2,16,38
3,53,30
1,70,53
5,30,11
4,36,14
3,47,31
2,17,39
5,32,12
5,32,13
1,70,54
2,21,40
3,46,32
5,31,14
4,27,15
2,20,41
3,48,33
5,31,15
1,65,55
2,21,42
4,29,16
2,21,43
4,28,17
2,22,44
4,29,18
1,66,56
3,63,34
5,38,16
4,27,19
3,61,35
4,26,20
2,29,45
5,38,17
2,33,46
3,58,36
4,23,21
1,60,57
5,39,18
2,33,47
2,33,48
3,59,37
4,21,22
2,32,49
6,0,-1
3,57,38
4,19,23
5,41,19
2,31,50
1,57,58
1,56,59
2,30,51
5,41,20
3,56,39
4,17,24
7,0,-1
5,40,21
6,68,0
2,31,52
5,40,22
3,51,40
1,47,60
6,70,1
7,0,0
5,38,23
6,70,2
4,14,25
7,2,1
3,47,41
7,3,2
5,36,24
2,70,53
6,68,3
1,36,61
4,17,26
2,70,54
3,46,42
7,3,3
4,18,27
3,48,43
4,18,28
6,68,4
5,38,25
2,67,55
4,18,29
3,45,44
4,17,30
2,66,56
6,62,5
4,16,31
2,66,57
7,25,4
4,15,32
7,25,5
5,53,26
2,61,58
3,56,45
6,60,6
4,13,33
2,59,59
3,51,46
5,53,27
7,25,6
2,55,60
3,50,47
6,57,7
7,26,7
4,17,34
5,51,28
3,50,48
4,18,35
6,54,8
4,18,36
2,46,61
5,51,29
7,28,8
4,16,37
6,51,9
3,49,49
5,51,30
4,16,38
6,51,10
7,29,9
4,17,39
6,49,11
5,50,31
3,45,50
7,29,10
4,16,40
6,47,12
7,29,11
5,48,32
4,17,41
3,44,51
6,45,13
7,31,12
4,18,42
5,47,33
7,30,13
6,43,14
4,19,43
3,43,52
4,18,44
6,42,15
7,30,14
5,45,34
7,33,15
3,48,53
6,39,16
5,40,35
4,21,45
6,38,17
4,20,46
5,38,36
3,48,54
4,21,47
6,34,18
3,48,55
7,43,16
4,23,48
5,36,37
6,32,19
4,22,49
7,43,17
3,47,56
6,32,20
4,23,50
5,35,38
7,42,18
6,32,21
3,49,57
4,24,51
5,34,39
7,42,19
3,46,58
6,32,22
7,42,20
4,25,52
5,32,40
6,30,23
3,46,59
5,29,41
7,41,21
6,27,24
5,27,42
3,39,60
4,36,53
6,26,25
7,41,22
4,35,54
5,29,43
4,35,55
3,32,61
7,41,23
6,26,26
5,28,44
4,35,56
7,42,24
6,24,27
4,39,57
6,24,28
6,24,29
7,41,25
4,39,58
5,35,45
6,22,30
5,34,46
4,35,59
6,20,31
5,35,47
7,51,26
4,32,60
6,23,32
5,34,48
4,29,61
5,36,49
7,49,27
6,25,33
5,35,50
7,48,28
5,33,51
6,30,34
7,45,29
6,27,35
5,33,52
6,27,36
7,45,30
7,45,31
6,23,37
7,46,32
5,44,53
6,24,38
5,43,54
7,45,33
5,41,55
6,23,39
6,21,40
5,41,56
7,52,34
7,50,35
6,19,41
5,38,57
6,18,42
5,37,58
6,17,43
7,46,36
5,34,59
7,47,37
6,15,44
5,31,60
7,45,38
5,25,61
6,25,45
7,43,39
6,25,46
6,25,47
7,42,40
6,22,48
7,39,41
6,20,49
7,38,42
6,19,50
7,35,43
6,20,51
7,33,44
6,18,52
7,38,45
7,36,46
6,23,53
7,38,47
7,36,48
6,19,54
6,19,55
7,35,49
6,18,56
7,31,50
6,16,57
7,30,51
6,14,58
6,15,59
7,29,52
6,14,60
6,11,61
7,30,53
7,28,54
7,28,55
7,24,56
7,23,57
7,19,58
7,16,59
7,14,60
7,11,61
