0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,0,0,0,0,0,0,0,0,chelsea,69.80,179.52,1869.53,1999.27,3668.99,3798.79,5473.39,5602.36
1,64,12,66,0,63,0,67,0,chelsea,136.08,231.32,1997.29,2050.69,3796.76,3850.61,5600.62,5668.96
2,64,12,66,0,64,0,66,0,edithvale,322.13,375.98,2174.47,2265.62,3985.00,4039.24,5751.33,5862.80
3,64,12,66,3,64,2,66,0,edithvale,374.01,427.09,2240.28,2392.76,4037.16,4165.18,5803.14,5989.08
4,62,12,66,4,62,2,66,3,haileybury,1284.25,1160.20,3134.30,3245.23,4856.72,4925.24,6702.90,6798.24
5,62,14,67,30,64,15,67,22,haileybury,1336.31,1212.36,3187.17,3372.11,4909.31,5051.10,6760.15,6924.08
6,59,13,64,33,60,17,65,22,springvale,1999.51,1793.22,3896.32,4220.62,5602.26,5858.87,7510.90,7694.95
7,53,13,62,36,59,20,61,26,springvale,2126.95,1849.43,3972.14,4346.93,5653.34,5987.02,7588.11,7802.86
8,51,13,59,38,55,20,59,27,brandonpark,2614.19,2315.66,4299.68,5041.86,6129.24,6601.94,7967.62,8372.55
9,48,12,58,39,54,20,58,27,brandonpark,2738.00,2439.00,4385.00,5168.00,6243.00,6725.00,8041.00,8496.00
10,47,11,56,40,50,18,53,27,glen,3567.22,3166.24,5043.70,6205.39,6912.76,7410.58,8628.96,9109.63
11,43,10,54,41,47,19,50,26,glen,3693.64,3300.07,5172.27,6332.04,7040.77,7497.03,8725.65,9195.73
12,40,10,50,42,45,18,48,27,bwdhwy,4252.62,3858.30,5716.42,6888.81,7475.95,7949.33,9157.33,9695.70
13,39,10,48,46,45,21,45,28,bwdhwy,4378.00,3984.00,5842.00,7014.00,7591.00,7999.00,9232.00,9800.00
14,38,10,45,45,46,22,44,28,nunawading,5155.33,4712.97,6565.77,7676.39,8121.81,8559.01,9597.86,10406.69
15,38,10,44,44,44,22,43,28,nunawading,5282.69,4838.56,6692.93,7803.46,8249.07,8685.58,9724.51,10532.68
16,35,10,42,44,41,22,41,29,,,,,,,,,
17,32,11,41,59,41,29,42,40,,,,,,,,,
18,31,11,40,63,38,29,41,43,,,,,,,,,
19,28,10,38,63,37,29,39,43,,,,,,,,,
20,25,10,35,64,36,28,37,42,,,,,,,,,
21,27,8,31,58,33,30,35,41,,,,,,,,,
22,28,8,27,58,33,30,32,43,,,,,,,,,
23,29,8,27,59,29,27,29,43,,,,,,,,,
24,28,8,24,60,27,28,27,40,,,,,,,,,
25,28,9,22,60,25,27,25,40,,,,,,,,,
26,26,10,20,63,22,28,22,39,,,,,,,,,
27,38,15,25,70,38,38,27,39,,,,,,,,,
28,37,16,25,67,40,37,27,38,,,,,,,,,
29,36,15,24,68,40,37,26,38,,,,,,,,,
30,33,18,24,65,39,41,26,38,,,,,,,,,
31,33,21,23,64,39,44,27,36,,,,,,,,,
32,33,21,23,63,38,41,26,34,,,,,,,,,
33,34,22,22,58,38,40,24,33,,,,,,,,,
34,31,21,20,58,36,37,24,32,,,,,,,,,
35,42,35,27,69,39,51,23,42,,,,,,,,,
36,42,35,27,67,36,49,19,42,,,,,,,,,
37,43,36,23,64,35,51,17,43,,,,,,,,,
38,40,39,22,64,35,48,16,42,,,,,,,,,
39,41,38,20,60,35,46,17,40,,,,,,,,,
40,42,39,17,54,31,45,18,40,,,,,,,,,
41,39,38,16,50,31,45,18,40,,,,,,,,,
42,45,38,17,47,25,40,18,39,,,,,,,,,
43,42,35,19,40,23,41,15,39,,,,,,,,,
44,43,35,18,41,18,40,14,35,,,,,,,,,
45,43,34,18,42,20,40,14,33,,,,,,,,,
46,60,62,26,53,28,44,21,41,,,,,,,,,
47,62,58,25,50,27,45,20,38,,,,,,,,,
48,62,55,24,51,27,45,16,36,,,,,,,,,
49,59,55,22,51,26,44,14,34,,,,,,,,,
50,58,53,20,49,26,44,15,33,,,,,,,,,
51,59,51,20,46,29,43,13,30,,,,,,,,,
52,60,52,19,42,27,38,11,28,,,,,,,,,
53,56,53,18,41,28,37,11,27,,,,,,,,,
54,70,62,30,49,38,39,15,33,,,,,,,,,
55,70,62,34,47,40,35,13,34,,,,,,,,,
56,70,61,35,47,38,37,13,32,,,,,,,,,
57,70,61,37,45,40,34,14,32,,,,,,,,,
58,70,58,43,43,38,32,15,29,,,,,,,,,
59,65,57,42,41,38,30,16,30,,,,,,,,,
60,65,55,41,38,35,26,16,29,,,,,,,,,
61,59,48,36,31,32,25,14,27,,,,,,,,,
62,52,42,30,26,30,21,12,22,,,,,,,,,
